ID_HECHO,N_VICTIMAS,FECHA,HORA,TIPO_DE_CALLE,COMUNA,XY (CABA),LONGITUD,LATITUD,VEHICULO_ACUSADO
2016-0001,1,2016-01-01,4.0,AVENIDA,8.0,Point (98896.78238426 93532.43437792),-58.47533969,-34.68757022,AUTO
2016-0002,1,2016-01-02,1.0,GRAL PAZ,9.0,Point (95832.05571093 95505.41641999),-58.50877521,-34.66977709,PASAJEROS
2016-0003,1,2016-01-03,7.0,AVENIDA,1.0,Point (106684.29090040 99706.57687843),-58.39040293,-34.63189362,AUTO
2016-0004,1,2016-01-10,0.0,AVENIDA,8.0,Point (99840.65224780 94269.16534422),-58.46503904,-34.68092974,
2016-0005,1,2016-01-21,5.0,AVENIDA,1.0,Point (106980.32827929 100752.16915795),-58.38718297,-34.6224663,PASAJEROS
2016-0008,1,2016-01-24,18.0,AVENIDA,8.0,Point (101721.59002217 93844.25656649),-58.44451316,-34.68475866,OBJETO FIJO
2016-0009,1,2016-01-24,19.0,CALLE,11.0,Point (96545.87592078 102330.67262199),-58.50095869,-34.6082544,AUTO
2016-0010,1,2016-01-29,15.0,GRAL PAZ,9.0,Point (95832.05571093 95505.41641999),-58.50877521,-34.66977709,AUTO
2016-0012,1,2016-02-08,1.0,AVENIDA,1.0,Point (107595.35084333 101797.50052813),-58.38048577,-34.61303893,CARGAS
2016-0013,1,2016-02-10,11.0,AVENIDA,1.0,Point (106616.41069662 100496.44662323),-58.39114932,-34.62477387,AUTO
2016-0015,1,2016-02-14,5.0,AVENIDA,15.0,Point (102357.43746828 103343.52002839),-58.4376002,-34.59912758,AUTO
2016-0016,1,2016-02-14,22.0,AVENIDA,4.0,Point (108661.59115206 98481.75445555),-58.36882665,-34.64291993,AUTO
2016-0017,1,2016-02-15,16.0,AVENIDA,8.0,Point (101228.61094416 96623.72136186),-58.44989671,-34.65970435,MOTO
2016-0019,1,2016-02-17,9.0,CALLE,9.0,Point (95727.37083199 97179.35560349),-58.50990884,-34.65468721,PASAJEROS
2016-0020,1,2016-02-17,16.0,CALLE,1.0,Point (107684.31807562 102519.17333314),-58.37952223,-34.60653282,AUTO
2016-0021,1,2016-02-17,23.0,AVENIDA,7.0,Point (101074.94198885 99848.19369046),-58.45157703,-34.63063795,AUTO
2016-0022,1,2016-02-21,6.0,AVENIDA,1.0,Point (107507.39502374 102046.08333077),-58.38144696,-34.61079875,AUTO
2016-0025,1,2016-02-28,4.0,GRAL PAZ,8.0,Point (100077.95205948 91571.23307293),-58.46244952,-34.70524971,AUTO
2016-0026,1,2016-02-28,7.0,CALLE,12.0,Point (97350.75566590 109083.19420265),-58.49216191,-34.54738649,OBJETO FIJO
2016-0027,1,2016-02-28,9.0,AVENIDA,7.0,Point (101679.82794245 98973.02976850),-58.44497874,-34.63852623,AUTO
2016-0028,1,2016-03-02,10.0,AVENIDA,1.0,Point (107457.87314266 103212.28518029),-58.38199706,-34.60028648,CARGAS
2016-0029,1,2016-03-04,17.0,AVENIDA,12.0,Point (99037.31284333 109733.12041651),-58.47378664,-34.54153077,PASAJEROS
2016-0031,1,2016-03-08,12.0,GRAL PAZ,8.0,Point (99327.01838497 92326.91130631),-58.47064556,-34.69843756,PASAJEROS
2016-0034,1,2016-03-12,12.0,AVENIDA,4.0,Point (105230.98315750 97613.97258373),-58.40623949,-34.65076549,PASAJEROS
2016-0035,1,2016-03-13,6.0,AVENIDA,3.0,Point (106513.41423248 102752.75354401),-58.39228965,-34.60443527,PASAJEROS
2016-0036,1,2016-03-14,0.0,CALLE,4.0,Point (107808.84957181 99174.17105826),-58.37813396,-34.63668504,PASAJEROS
2016-0037,1,2016-03-19,11.0,AVENIDA,7.0,Point (100049.60313526 98412.21255444),-58.46275892,-34.64358293,MOTO
2016-0038,1,2016-03-21,8.0,GRAL PAZ,8.0,Point (96926.79887463 94490.76318635),-58.49683458,-34.67892743,PASAJEROS
2016-0039,1,2016-03-23,1.0,AVENIDA,3.0,Point (105252.60308563 102264.96028996),-58.40603217,-34.6088396,PASAJEROS
2016-0041,2,2016-03-29,11.0,AVENIDA,7.0,Point (100232.38564985 99530.25843190),-58.4607655,-34.63350444,CARGAS
2016-0043,1,2016-03-30,18.0,AVENIDA,8.0,Point (98623.04338909 94933.06478837),-58.47832463,-34.67494416,CARGAS
2016-0044,1,2016-03-31,19.0,AVENIDA,7.0,Point (102857.73817324 99148.76714504),-58.43213235,-34.63693953,MULTIPLE
2016-0045,1,2016-04-11,10.0,GRAL PAZ,13.0,Point (99620.34936816 110483.29286598),-58.46743471,-34.53476874,
2016-0047,1,2016-04-15,5.0,CALLE,1.0,Point (107412.19098904 100391.02557777),-58.38247061,-34.62571878,PASAJEROS
2016-0048,1,2016-04-15,17.0,AVENIDA,15.0,Point (101440.29935254 104167.40204334),-58.44759966,-34.5917024,PASAJEROS
2016-0049,1,2016-04-17,0.0,AUTOPISTA,4.0,,-58.37714647568196,-34.63657525428238,
2016-0050,1,2016-04-19,9.0,AVENIDA,8.0,Point (99106.14718950 93761.32882893),-58.47305463,-34.68550712,PASAJEROS
2016-0051,1,2016-04-20,4.0,AVENIDA,4.0,Point (105230.98315750 97613.97258373),-58.40623949,-34.65076549,CARGAS
2016-0052,1,2016-04-20,20.0,AUTOPISTA,13.0,,,,
2016-0053,1,2016-04-22,9.0,AVENIDA,12.0,Point (98073.80557770 105955.73972818),-58.4842918,-34.57558053,PASAJEROS
2016-0054,1,2016-04-23,21.0,AUTOPISTA,8.0,Point (97832.57143731 93489.83736533),-58.48695354,-34.68795245,MOTO
2016-0055,1,2016-04-25,20.0,AVENIDA,14.0,Point (105787.74102401 105502.98340149),-58.40021959,-34.57964781,CARGAS
2016-0056,1,2016-04-26,4.0,AVENIDA,14.0,Point (103094.06446966 105842.29634122),-58.42957885,-34.57660058,OBJETO FIJO
2016-0058,1,2016-05-04,14.0,CALLE,1.0,Point (107411.76356149 100408.31441284),-58.38247542,-34.62556293,MOTO
2016-0059,1,2016-05-08,16.0,CALLE,1.0,Point (107434.83290791 100217.70308007),-58.38222219,-34.62728101,PASAJEROS
2016-0064,1,2016-05-14,18.0,AVENIDA,10.0,Point (97106.70264812 99970.19547024),-58.49485242,-34.62953445,PASAJEROS
2016-0065,1,2016-05-20,14.0,AVENIDA,6.0,Point (101010.75965434 102062.18185970),-58.45227946,-34.61068024,AUTO
2016-0067,1,2016-05-21,17.0,AVENIDA,8.0,Point (98052.13008621 94912.60873025),-58.48455411,-34.6751276,PASAJEROS
2016-0068,1,2016-05-22,22.0,AVENIDA,2.0,Point (106673.12856878 104998.99234220),-58.39056593,-34.58418569,PASAJEROS
2016-0069,1,2016-05-23,3.0,AVENIDA,3.0,Point (106612.54991859 100244.75667446),-58.39118948,-34.62704273,CARGAS
2016-0073,1,2016-06-11,15.0,CALLE,10.0,Point (97531.24792840 101000.15957301),-58.49021952,-34.62025108,CARGAS
2016-0074,1,2016-06-12,6.0,GRAL PAZ,8.0,Point (96731.44252651 94668.88351657),-58.49896559,-34.67732118,AUTO
2016-0075,1,2016-06-12,23.0,AUTOPISTA,8.0,Point (98963.32962830 95620.61360192),-58.47461076,-34.66874679,AUTO
2016-0076,1,2016-06-13,16.0,AVENIDA,15.0,Point (100109.22264405 102851.86942760),-58.46210891,-34.60356211,PASAJEROS
2016-0077,1,2016-06-13,21.0,AVENIDA,1.0,Point (108532.37320501 102648.40418720),-58.3702777,-34.60536123,PASAJEROS
2016-0078,1,2016-06-13,23.0,AVENIDA,3.0,Point (105354.74322032 101621.63182427),-58.40491455,-34.6146383,MOTO
2016-0079,1,2016-06-16,17.0,AVENIDA,13.0,Point (100757.94817512 108943.96108781),-58.45504154,-34.54864492,AUTO
2016-0080,1,2016-06-18,6.0,GRAL PAZ,9.0,Point (93950.50587297 98883.37644525),-58.52927982,-34.63931752,
2016-0081,1,2016-06-22,7.0,AVENIDA,12.0,Point (97805.54034401 107789.89169078),-58.4872106,-34.55904606,AUTO
2016-0082,1,2016-06-27,18.0,AVENIDA,4.0,Point (103719.51591058 98555.13443768),-58.42273092,-34.64228803,AUTO
2016-0083,1,2016-06-28,20.0,AVENIDA,6.0,Point (101413.41644585 100430.31523295),-58.44788671,-34.62539009,MOTO
2016-0084,1,2016-06-29,22.0,CALLE,1.0,Point (107539.54864414 103093.65031518),-58.38110563,-34.60135531,PASAJEROS
2016-0085,1,2016-06-29,22.0,AVENIDA,4.0,Point (103621.92252760 96885.28433165),-58.42378834,-34.657341,OTRO
2016-0086,1,2016-06-30,16.0,AVENIDA,10.0,Point (97801.31825511 99194.93911759),-58.48727942,-34.63652467,PASAJEROS
2016-0087,1,2016-07-02,0.0,AUTOPISTA,1.0,Point (107762.62066736 100018.90176187),-58.37864583,-34.62907067,OBJETO FIJO
2016-0088,1,2016-07-11,15.0,CALLE,12.0,Point (96492.89040317 106832.19475660),-58.5015175,-34.56767549,AUTO
2016-0089,1,2016-07-14,6.0,AUTOPISTA,13.0,Point (102842.06561704 108587.10659007),-58.43233425,-34.55185825,AUTO
2016-0090,1,2016-07-14,22.0,AVENIDA,5.0,Point (103997.04813615 102012.34139150),-58.41971993,-34.6111224,PASAJEROS
2016-0092,1,2016-07-15,11.0,GRAL PAZ,13.0,Point (99620.34936816 110483.29286598),-58.46743471,-34.53476874,CARGAS
2016-0093,1,2016-07-17,3.0,AVENIDA,6.0,Point (101804.61714036 100693.45218194),-58.44362126,-34.62301748,AUTO
2016-0095,1,2016-07-23,6.0,AVENIDA,11.0,Point (95061.77375682 103748.74085597),-58.51713095,-34.59546519,AUTO
2016-0096,1,2016-07-25,7.0,AUTOPISTA,8.0,,-58.47433193007387,-34.66684950051973,CARGAS
2016-0097,1,2016-07-26,18.0,CALLE,1.0,Point (106687.13301820 101510.97040757),-58.39038605,-34.6156281,AUTO
2016-0098,1,2016-07-27,16.0,AVENIDA,3.0,Point (105765.97394356 100631.47718024),-58.40042405,-34.62356174,CARGAS
2016-0099,1,2016-07-29,16.0,GRAL PAZ,11.0,Point (94486.28631712 103468.59928582),-58.52340614,-34.59798754,CARGAS
2016-0100,1,2016-08-03,23.0,GRAL PAZ,12.0,Point (97098.48468623 109019.96106626),-58.49491054,-34.54795581,OBJETO FIJO
2016-0101,1,2016-08-07,19.0,GRAL PAZ,9.0,Point (93946.81673714 97681.68907836),-58.52932872,-34.65014993,
2016-0102,1,2016-08-10,23.0,AVENIDA,9.0,Point (96625.80612216 95129.90776954),-58.50011639,-34.67316502,CARGAS
2016-0104,1,2016-08-14,21.0,AVENIDA,9.0,Point (99720.41444035 97007.69579491),-58.46635001,-34.65624369,PASAJEROS
2016-0105,1,2016-08-17,0.0,AVENIDA,15.0,Point (100905.28580812 104982.19279501),-58.45343236,-34.58435809,PASAJEROS
2016-0106,1,2016-08-19,21.0,AVENIDA,1.0,Point (107558.64146875 104433.48706482),-58.38090932,-34.58927731,PASAJEROS
2016-0107,1,2016-08-20,8.0,AUTOPISTA,4.0,Point (108408.31858686 97219.56218484),-58.37157668,-34.65429986,AUTO
2016-0109,1,2016-08-24,5.0,AUTOPISTA,9.0,Point (94544.31344300 99185.28796442),-58.52280139,-34.63659934,OBJETO FIJO
2016-0110,1,2016-08-24,20.0,AVENIDA,9.0,Point (95506.35959227 96696.89655626),-58.51232237,-34.6590353,
2016-0111,1,2016-08-25,9.0,AUTOPISTA,15.0,Point (98961.36262767 105838.76329094),-58.47461905,-34.57663634,CARGAS
2016-0112,1,2016-08-27,4.0,AUTOPISTA,1.0,Point (107392.50226602 100712.59265582),-58.38268809,-34.62282019,OBJETO FIJO
2016-0113,1,2016-08-27,16.0,AVENIDA,9.0,Point (96998.81124177 98183.20743664),-58.49603546,-34.64564271,PASAJEROS
2016-0114,1,2016-08-31,11.0,CALLE,14.0,Point (104111.05146856 103917.57944765),-58.41848605,-34.59394733,CARGAS
2016-0115,1,2016-09-02,11.0,CALLE,12.0,Point (97608.87024259 108884.67029908),-58.48935041,-34.54917673,CARGAS
2016-0116,1,2016-09-02,20.0,AVENIDA,8.0,Point (101721.59002217 93844.25656649),-58.44451316,-34.68475866,AUTO
2016-0117,1,2016-09-03,15.0,AVENIDA,14.0,Point (105865.95849347 105162.71037105),-58.39936478,-34.58271474,AUTO
2016-0118,1,2016-09-04,3.0,AUTOPISTA,1.0,Point (107696.68171812 100254.76268710),-58.37936704,-34.62694503,AUTO
2016-0119,1,2016-09-04,6.0,AVENIDA,12.0,Point (96944.69676081 107291.52292157),-58.49659234,-34.56353635,
2016-0122,1,2016-09-13,7.0,AVENIDA,9.0,Point (99150.75069529 97484.46650280),-58.47256391,-34.65194557,PASAJEROS
2016-0123,1,2016-09-14,9.0,AVENIDA,7.0,Point (101099.34592952 98750.07827754),-58.45130953,-34.64053676,AUTO
2016-0124,1,2016-09-16,15.0,AVENIDA,7.0,Point (100053.89791316 100046.73776995),-58.46271207,-34.62884871,PASAJEROS
2016-0125,1,2016-09-17,12.0,AUTOPISTA,10.0,Point (97532.91184699 98538.89061454),-58.49020869,-34.64243791,MOTO
2016-0126,2,2016-09-18,22.0,CALLE,10.0,Point (94275.54271123 100886.87954649),-58.52572109,-34.62125906,CARGAS
2016-0127,1,2016-09-24,10.0,AVENIDA,8.0,Point (102048.72946345 95839.63478990),-58.44094791,-34.66677111,PASAJEROS
2016-0128,1,2016-10-02,11.0,AVENIDA,5.0,Point (104049.28528337 99858.37522846),-58.41914024,-34.6305389,PASAJEROS
2016-0130,1,2016-10-04,12.0,AUTOPISTA,1.0,Point (107720.24059557 100176.85101454),-58.37910942,-34.62764717,CARGAS
2016-0131,1,2016-10-09,19.0,CALLE,4.0,Point (105921.45515383 98209.53178328),-58.39871183,-34.64539318,AUTO
2016-0132,1,2016-10-10,2.0,AVENIDA,3.0,Point (104853.84131654 100497.93573387),-58.41036975,-34.62477021,PASAJEROS
2016-0133,1,2016-10-14,0.0,AVENIDA,14.0,Point (105619.82089682 105083.85914124),-58.40204698,-34.5834269,AUTO
2016-0134,1,2016-10-23,5.0,AVENIDA,8.0,Point (97612.37609226 94761.81268260),-58.48935287,-34.67648597,OBJETO FIJO
2016-0135,1,2016-10-24,5.0,AVENIDA,14.0,Point (103734.76257993 107235.78328415),-58.42260225,-34.56403694,
2016-0136,1,2016-10-25,0.0,AUTOPISTA,4.0,,,,CARGAS
2016-0137,1,2016-10-25,0.0,AVENIDA,11.0,Point (95222.93546397 104315.24453153),-58.51537091,-34.59035925,MOTO
2016-0138,1,2016-10-27,20.0,AVENIDA,13.0,Point (100385.69739031 107770.04028070),-58.4590967,-34.55922742,CARGAS
2016-0139,1,2016-10-28,23.0,AVENIDA,14.0,Point (103965.45958231 107084.94812768),-58.42008769,-34.56539579,MOTO
2016-0140,1,2016-10-31,2.0,AVENIDA,13.0,Point (100700.71684791 107520.92282315),-58.45566399,-34.56147293,PASAJEROS
2016-0142,1,2016-11-05,23.0,AVENIDA,1.0,Point (108069.68986814 104046.20018024),-58.37533517,-34.59276462,PASAJEROS
2016-0143,1,2016-11-06,4.0,AVENIDA,8.0,Point (101721.59002217 93844.25656649),-58.44451316,-34.68475866,
2016-0144,1,2016-11-07,12.0,AVENIDA,4.0,Point (109494.82838112 99532.69117874),-58.35975012,-34.63343907,PASAJEROS
2016-0145,1,2016-11-07,20.0,AVENIDA,13.0,Point (101657.76119068 107735.39237736),-58.44523595,-34.55953855,AUTO
2016-0146,1,2016-11-09,20.0,AVENIDA,4.0,Point (106147.25140863 99876.44981079),-58.39626094,-34.63036565,PASAJEROS
2016-0147,1,2016-11-16,21.0,AVENIDA,1.0,Point (106817.01972475 101248.18030272),-58.38896772,-34.61799615,PASAJEROS
2016-0148,1,2016-11-16,22.0,AVENIDA,15.0,Point (99810.88349598 103818.87868694),-58.46536113,-34.59484504,MOTO
2016-0150,1,2016-11-18,18.0,AVENIDA,4.0,Point (104996.91619776 97395.92929535),-58.40879146,-34.65273216,CARGAS
2016-0151,1,2016-11-18,20.0,CALLE,0.0,,,,
2016-0152,1,2016-11-23,21.0,AVENIDA,7.0,Point (99888.30162107 97709.27452060),-58.46451841,-34.64991946,AUTO
2016-0153,1,2016-11-25,15.0,AVENIDA,15.0,Point (103130.82393478 103817.27945358),-58.4291709,-34.59485488,MOTO
2016-0154,1,2016-11-26,14.0,GRAL PAZ,8.0,Point (97546.12845734 94093.36420523),-58.49007772,-34.68251141,MOTO
2016-0155,1,2016-11-26,16.0,CALLE,10.0,Point (94107.02905618 100169.73297345),-58.52756365,-34.62772274,AUTO
2016-0156,1,2016-11-26,19.0,AVENIDA,3.0,Point (105219.14271583 101089.92439911),-58.40638983,-34.61943202,PASAJEROS
2016-0157,1,2016-12-03,6.0,AVENIDA,11.0,Point (98856.51878317 101315.60184716),-58.47576807,-34.61740997,MOTO
2016-0159,1,2016-12-04,7.0,AVENIDA,8.0,Point (101721.59002217 93844.25656649),-58.44451316,-34.68475866,
2016-0160,1,2016-12-06,5.0,AUTOPISTA,9.0,Point (94867.91408532 99212.26216105),-58.51927194,-34.63635787,OBJETO FIJO
2016-0161,1,2016-12-06,7.0,AVENIDA,14.0,Point (103490.75904616 105613.31878847),-58.42525456,-34.57866344,PASAJEROS
2016-0162,1,2016-12-07,5.0,AVENIDA,15.0,Point (100856.34310085 104890.83521057),-58.45396573,-34.58518167,AUTO
2016-0163,1,2016-12-10,7.0,GRAL PAZ,11.0,Point (94486.28631712 103468.59928582),-58.52340614,-34.59798754,AUTO
2016-0164,1,2016-12-11,6.0,AVENIDA,4.0,Point (103673.23003122 98676.84527702),-58.42323628,-34.64119105,AUTO
