ID_HECHO,N_VICTIMAS,FECHA,HORA,COMUNA,TIPO_DE_CALLE,XY (CABA),LONGITUD,LATITUD,VEHICULO_ACUSADO
LC-2019-0000179,1,2019-01-01,9.0,14,,Point (104991.46333918849995825 107720.96647481426771265),-58.408911,-34.559658,
LC-2019-0000053,1,2019-01-01,1.0,8,,Point (101813.84712503915943671 95578.55507230378862005),-58.44351,-34.669125,
LC-2019-0000063,1,2019-01-01,2.0,8,,Point (99538.58660300650808495 94643.41871799012005795),-58.468335,-34.677556,
LC-2019-0000079,1,2019-01-01,2.0,7,,Point (102372.16830963784013875 97994.13750300348328892),-58.437425,-34.647349,
LC-2019-0000082,4,2019-01-01,4.0,3,,Point (105968.98286849579017144 102737.17346866782463621),-58.398225,-34.604579,
LC-2019-0000136,2,2019-01-01,8.0,15,,Point (102193.35632690557395108 104565.99669987679226324),-58.439392,-34.588108,
LC-2019-0000142,1,2019-01-01,7.0,11,,Point (94879.29147500626277179 104434.56166003129328601),-58.519116,-34.589282,
LC-2019-0000194,1,2019-01-01,7.0,9,,Point (94030.76669932194636203 97681.07176124800753314),-58.528413,-34.650156,
LC-2019-0000202,1,2019-01-01,9.0,1,,Point (108422.05637924707843922 103418.96326199280156288),-58.371488,-34.598416,
LC-2019-0000329,1,2019-01-01,12.0,4,,Point (105367.86665769023238681 97877.75085908087203279),-58.404748,-34.648387,
LC-2019-0000347,1,2019-01-01,12.0,7,,Point (101941.23269930288370233 97755.83807521616108716),-58.442125,-34.649498,
LC-2019-0000445,3,2019-01-01,13.0,11,,Point (94371.44237885093025398 102884.1936510540836025),-58.524662,-34.603255,
LC-2019-0000493,1,2019-01-01,13.0,4,,Point (107990.5430307903297944 97534.858432368026115),-58.376137,-34.651461,
LC-2019-0000600,1,2019-01-01,19.0,1,,Point (108178.21037640585564077 104229.88091071296366863),-58.374154,-34.591108,
LC-2019-0000636,1,2019-01-01,18.0,9,,Point (96112.35969928668055218 97204.40092204499524087),-58.505709,-34.654463,
LC-2019-0000647,1,2019-01-01,18.0,12,,Point (97510.27137648081406951 105087.83369881813996471),-58.490436,-34.583403,
LC-2019-0000686,1,2019-01-01,21.0,9,,Point (95507.34324682946316898 96444.88822751649422571),-58.512313,-34.661307,
LC-2019-0005235,1,2019-01-01,3.0,2,,Point (105894.85087721658055671 103435.43499357998371124),-58.399038,-34.598285,
LC-2019-0002218,1,2019-01-02,15.0,1,,Point (108214.13396604378067423 102729.25401629222324118),-58.373748,-34.604635,
LC-2019-0000928,1,2019-01-02,7.0,5,,,,,
LC-2019-0000963,5,2019-01-02,8.0,6,,Point (101470.37822491800761782 100697.22389071866928134),-58.447266,-34.622984,
LC-2019-0001754,1,2019-01-02,12.0,5,,Point (104420.4523432254063664 100932.1468320575368125),-58.415098,-34.620858,
LC-2019-0001879,1,2019-01-02,13.0,1,,Point (108351.4664118599757785 103672.39853972636046819),-58.37226,-34.596132,
LC-2019-0001948,1,2019-01-02,12.0,14,,Point (101342.84079868870321661 106804.88988065243756864),-58.448666,-34.567927,
LC-2019-0001987,1,2019-01-02,13.0,13,,Point (99557.17892061518796254 108492.02782968983228784),-58.468124,-34.552719,
LC-2019-0001992,1,2019-01-02,14.0,1,,Point (108351.4664118599757785 103672.39853972636046819),-58.37226,-34.596132,
LC-2019-0002083,1,2019-01-02,5.0,13,,Point (98968.57749428524402902 110082.63518594211200252),-58.474535,-34.53838,
LC-2019-0002208,1,2019-01-02,15.0,4,,Point (105986.40449894811899867 99009.90073425363516435),-58.398009,-34.638178,
LC-2019-0002740,1,2019-01-02,17.0,8,,Point (99871.37816590693546459 93172.65804134219069965),-58.464704,-34.690814,
LC-2019-0003220,2,2019-01-02,19.0,3,,Point (106413.03323881076357793 102215.93553554848767817),-58.39338,-34.609275,
LC-2019-0003340,1,2019-01-02,23.0,1,,Point (108533.78759446692129131 102519.63515884074149653),-58.370261,-34.606522,
LC-2019-0005610,1,2019-01-02,7.0,1,,Point (108258.39579309865075629 104338.63569084534537978),-58.373281,-34.590127,
LC-2019-0020183,1,2019-01-02,15.0,11,,Point (100139.20080873776169028 101866.7934977501136018),-58.461782,-34.612442,
LC-2019-0022496,1,2019-01-02,10.0,4,,,,,
