ID_HECHO,FECHA,VEHICULO_VICTIMA,SEXO_VICTIMA,EDAD_VICTIMA,GRAVEDAD,ROL_VICTIMA,RANGO_ETARIO
LC-2019-0000053,2019-01-01,,MASCULINO,57.0,LEVEMENTE HERIDO,,5_ 50 a 59 años
LC-2019-0000063,2019-01-01,,,,LEVEMENTE HERIDO,,
LC-2019-0000079,2019-01-01,,MASCULINO,,LEVEMENTE HERIDO,,
LC-2019-0000082,2019-01-01,,MASCULINO,45.0,LEVEMENTE HERIDO,,4_ 45 a 49 años
LC-2019-0000082,2019-01-01,,FEMENINO,45.0,LEVEMENTE HERIDO,,4_ 45 a 49 años
LC-2019-0000082,2019-01-01,,MASCULINO,27.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0000082,2019-01-01,,FEMENINO,32.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0000136,2019-01-01,,MASCULINO,21.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0000136,2019-01-01,,FEMENINO,21.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0000142,2019-01-01,,MASCULINO,37.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0000179,2019-01-01,,,,LEVEMENTE HERIDO,,
LC-2019-0000194,2019-01-01,,FEMENINO,33.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0000202,2019-01-01,,MASCULINO,25.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0000329,2019-01-01,,MASCULINO,23.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0000347,2019-01-01,,MASCULINO,,LEVEMENTE HERIDO,,
LC-2019-0000445,2019-01-01,,MASCULINO,42.0,LEVEMENTE HERIDO,,4_ 45 a 49 años
LC-2019-0000445,2019-01-01,,FEMENINO,42.0,LEVEMENTE HERIDO,,4_ 45 a 49 años
LC-2019-0000445,2019-01-01,,MASCULINO,37.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0000493,2019-01-01,,MASCULINO,53.0,LEVEMENTE HERIDO,,5_ 50 a 59 años
LC-2019-0000600,2019-01-01,,FEMENINO,1.0,LEVEMENTE HERIDO,,1_ 0 a 17 años
LC-2019-0000636,2019-01-01,,FEMENINO,62.0,LEVEMENTE HERIDO,,6_ 60 años o mas
LC-2019-0000647,2019-01-01,,MASCULINO,,LEVEMENTE HERIDO,,
LC-2019-0000686,2019-01-01,,FEMENINO,67.0,LEVEMENTE HERIDO,,6_ 60 años o mas
LC-2019-0005235,2019-01-01,,FEMENINO,75.0,LEVEMENTE HERIDO,,6_ 60 años o mas
LC-2019-0000928,2019-01-02,,FEMENINO,40.0,LEVEMENTE HERIDO,,4_ 45 a 49 años
LC-2019-0000963,2019-01-02,,FEMENINO,48.0,LEVEMENTE HERIDO,,4_ 45 a 49 años
LC-2019-0000963,2019-01-02,,MASCULINO,48.0,LEVEMENTE HERIDO,,4_ 45 a 49 años
LC-2019-0000963,2019-01-02,,FEMENINO,27.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0000963,2019-01-02,,FEMENINO,3.0,LEVEMENTE HERIDO,,1_ 0 a 17 años
LC-2019-0000963,2019-01-02,,FEMENINO,33.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0001754,2019-01-02,,FEMENINO,49.0,LEVEMENTE HERIDO,,4_ 45 a 49 años
LC-2019-0001879,2019-01-02,,,,LEVEMENTE HERIDO,,
LC-2019-0001948,2019-01-02,,MASCULINO,,LEVEMENTE HERIDO,,
LC-2019-0547054,2019-09-01,,MASCULINO,25.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0001992,2019-01-02,,MASCULINO,34.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0002083,2019-01-02,,MASCULINO,27.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0002208,2019-01-02,,MASCULINO,34.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0002218,2019-01-02,,MASCULINO,52.0,LEVEMENTE HERIDO,,5_ 50 a 59 años
LC-2019-0002740,2019-01-02,,MASCULINO,44.0,LEVEMENTE HERIDO,,4_ 45 a 49 años
LC-2019-0003220,2019-01-02,,FEMENINO,28.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0003220,2019-01-02,,MASCULINO,28.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0003340,2019-01-02,,,,LEVEMENTE HERIDO,,
LC-2019-0005610,2019-01-02,,MASCULINO,59.0,LEVEMENTE HERIDO,,5_ 50 a 59 años
LC-2019-0020183,2019-01-02,,MASCULINO,50.0,LEVEMENTE HERIDO,,5_ 50 a 59 años
LC-2019-0022496,2019-01-02,,MASCULINO,73.0,LEVEMENTE HERIDO,,6_ 60 años o mas
LC-2019-0003428,2019-01-03,,MASCULINO,45.0,LEVEMENTE HERIDO,,4_ 45 a 49 años
LC-2019-0816662,2019-12-24,,MASCULINO,26.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0025711,2019-01-13,,MASCULINO,32.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0003642,2019-01-03,,MASCULINO,51.0,LEVEMENTE HERIDO,,5_ 50 a 59 años
LC-2019-0003787,2019-01-03,,MASCULINO,48.0,LEVEMENTE HERIDO,,4_ 45 a 49 años
LC-2019-0003862,2019-01-03,,FEMENINO,37.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0003862,2019-01-03,,MASCULINO,37.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0003884,2019-01-03,,FEMENINO,,LEVEMENTE HERIDO,,
LC-2019-0004144,2019-01-03,,MASCULINO,16.0,LEVEMENTE HERIDO,,1_ 0 a 17 años
LC-2019-0004229,2019-01-03,,FEMENINO,43.0,LEVEMENTE HERIDO,,4_ 45 a 49 años
LC-2019-0004442,2019-01-03,,FEMENINO,38.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0004442,2019-01-03,,MASCULINO,38.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0004565,2019-01-03,,FEMENINO,,LEVEMENTE HERIDO,,
LC-2019-0004621,2019-01-03,,MASCULINO,,LEVEMENTE HERIDO,,
LC-2019-0004622,2019-01-03,,FEMENINO,,LEVEMENTE HERIDO,,
LC-2019-0004652,2019-01-03,,MASCULINO,28.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0004717,2019-01-03,,MASCULINO,45.0,LEVEMENTE HERIDO,,4_ 45 a 49 años
LC-2019-0004718,2019-01-03,,MASCULINO,51.0,LEVEMENTE HERIDO,,5_ 50 a 59 años
LC-2019-0005334,2019-01-03,,MASCULINO,33.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0005614,2019-01-03,,MASCULINO,43.0,LEVEMENTE HERIDO,,4_ 45 a 49 años
LC-2019-0005622,2019-01-03,,FEMENINO,64.0,LEVEMENTE HERIDO,,6_ 60 años o mas
LC-2019-0005638,2019-01-03,,MASCULINO,36.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0005638,2019-01-03,,FEMENINO,36.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0005647,2019-01-03,,MASCULINO,45.0,LEVEMENTE HERIDO,,4_ 45 a 49 años
LC-2019-0005681,2019-01-03,,FEMENINO,,LEVEMENTE HERIDO,,
LC-2019-0005764,2019-01-03,,MASCULINO,84.0,LEVEMENTE HERIDO,,6_ 60 años o mas
LC-2019-0005815,2019-01-03,,MASCULINO,22.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0005979,2019-01-03,,MASCULINO,26.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0654194,2019-10-19,,MASCULINO,32.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0006068,2019-01-04,,FEMENINO,20.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0006306,2019-01-04,,MASCULINO,,LEVEMENTE HERIDO,,
LC-2019-0006547,2019-01-04,,MASCULINO,38.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0006638,2019-01-04,,MASCULINO,37.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0006638,2019-01-04,,MASCULINO,37.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0006659,2019-01-04,,MASCULINO,48.0,LEVEMENTE HERIDO,,4_ 45 a 49 años
LC-2019-0006789,2019-01-04,,FEMENINO,5.0,LEVEMENTE HERIDO,,1_ 0 a 17 años
LC-2019-0006837,2019-01-04,,FEMENINO,,LEVEMENTE HERIDO,,
LC-2019-0006857,2019-01-04,,FEMENINO,,LEVEMENTE HERIDO,,
LC-2019-0007002,2019-01-04,,MASCULINO,,LEVEMENTE HERIDO,,
LC-2019-0007021,2019-01-04,,MASCULINO,34.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0007294,2019-01-04,,MASCULINO,39.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0007336,2019-01-04,,MASCULINO,,LEVEMENTE HERIDO,,
LC-2019-0007536,2019-01-04,,FEMENINO,28.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0007634,2019-01-04,,MASCULINO,,LEVEMENTE HERIDO,,
LC-2019-0007660,2019-01-04,,MASCULINO,23.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0007701,2019-01-04,,MASCULINO,34.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0007778,2019-01-04,,FEMENINO,56.0,LEVEMENTE HERIDO,,5_ 50 a 59 años
LC-2019-0008077,2019-01-04,,FEMENINO,44.0,LEVEMENTE HERIDO,,4_ 45 a 49 años
LC-2019-0008227,2019-01-04,,FEMENINO,26.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0008238,2019-01-04,,FEMENINO,69.0,LEVEMENTE HERIDO,,6_ 60 años o mas
LC-2019-0008238,2019-01-04,,FEMENINO,69.0,LEVEMENTE HERIDO,,6_ 60 años o mas
LC-2019-0008283,2019-01-04,,MASCULINO,26.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0008283,2019-01-04,,FEMENINO,26.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0008314,2019-01-04,,FEMENINO,55.0,LEVEMENTE HERIDO,,5_ 50 a 59 años
LC-2019-0008367,2019-01-04,,MASCULINO,46.0,LEVEMENTE HERIDO,,4_ 45 a 49 años
LC-2019-0008388,2019-01-04,,FEMENINO,,LEVEMENTE HERIDO,,
LC-2019-0008388,2019-01-04,,FEMENINO,,LEVEMENTE HERIDO,,
LC-2019-0008388,2019-01-04,,FEMENINO,34.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0008467,2019-01-04,,MASCULINO,29.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0008493,2019-01-04,,FEMENINO,34.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0008496,2019-01-04,,MASCULINO,,LEVEMENTE HERIDO,,
LC-2019-0008565,2019-01-04,,MASCULINO,34.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0008566,2019-01-04,,MASCULINO,26.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0011897,2019-01-04,,FEMENINO,38.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0017883,2019-01-04,,MASCULINO,53.0,LEVEMENTE HERIDO,,5_ 50 a 59 años
LC-2019-0020135,2019-01-04,,MASCULINO,23.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0020930,2019-01-04,,MASCULINO,28.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0267364,2019-01-04,,MASCULINO,41.0,LEVEMENTE HERIDO,,4_ 45 a 49 años
LC-2019-0314341,2019-05-20,,MASCULINO,56.0,LEVEMENTE HERIDO,,5_ 50 a 59 años
LC-2019-0008603,2019-01-05,,MASCULINO,43.0,LEVEMENTE HERIDO,,4_ 45 a 49 años
LC-2019-0008860,2019-01-05,,MASCULINO,67.0,LEVEMENTE HERIDO,,6_ 60 años o mas
LC-2019-0008860,2019-01-05,,MASCULINO,67.0,LEVEMENTE HERIDO,,6_ 60 años o mas
LC-2019-0008860,2019-01-05,,MASCULINO,40.0,LEVEMENTE HERIDO,,4_ 45 a 49 años
LC-2019-0008916,2019-01-05,,MASCULINO,33.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0008924,2019-01-05,,MASCULINO,,LEVEMENTE HERIDO,,
LC-2019-0008974,2019-01-05,,FEMENINO,29.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0009068,2019-01-05,,MASCULINO,54.0,LEVEMENTE HERIDO,,5_ 50 a 59 años
LC-2019-0009123,2019-01-05,,MASCULINO,51.0,LEVEMENTE HERIDO,,5_ 50 a 59 años
LC-2019-0009194,2019-01-05,,MASCULINO,33.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0009305,2019-01-05,,MASCULINO,42.0,LEVEMENTE HERIDO,,4_ 45 a 49 años
LC-2019-0009312,2019-01-05,,FEMENINO,74.0,LEVEMENTE HERIDO,,6_ 60 años o mas
LC-2019-0009325,2019-01-05,,MASCULINO,70.0,LEVEMENTE HERIDO,,6_ 60 años o mas
LC-2019-0009392,2019-01-05,,FEMENINO,40.0,LEVEMENTE HERIDO,,4_ 45 a 49 años
LC-2019-0009580,2019-01-05,,FEMENINO,6.0,LEVEMENTE HERIDO,,1_ 0 a 17 años
LC-2019-0009722,2019-01-05,,FEMENINO,30.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0025772,2019-01-13,,MASCULINO,,LEVEMENTE HERIDO,,
LC-2019-0010031,2019-01-05,,MASCULINO,28.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0010621,2019-01-05,,FEMENINO,12.0,LEVEMENTE HERIDO,,1_ 0 a 17 años
LC-2019-0012840,2019-01-05,,FEMENINO,83.0,LEVEMENTE HERIDO,,6_ 60 años o mas
LC-2019-0052387,2019-01-05,,MASCULINO,27.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0010050,2019-01-06,,MASCULINO,24.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0010105,2019-01-06,,MASCULINO,27.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0010145,2019-01-06,,FEMENINO,35.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0010228,2019-01-06,,MASCULINO,12.0,LEVEMENTE HERIDO,,1_ 0 a 17 años
LC-2019-0010301,2019-01-06,,MASCULINO,12.0,LEVEMENTE HERIDO,,1_ 0 a 17 años
LC-2019-0010436,2019-01-06,,MASCULINO,12.0,LEVEMENTE HERIDO,,1_ 0 a 17 años
LC-2019-0010436,2019-01-06,,MASCULINO,12.0,LEVEMENTE HERIDO,,1_ 0 a 17 años
LC-2019-0010649,2019-01-06,,MASCULINO,12.0,LEVEMENTE HERIDO,,1_ 0 a 17 años
LC-2019-0010661,2019-01-06,,MASCULINO,12.0,LEVEMENTE HERIDO,,1_ 0 a 17 años
LC-2019-0010730,2019-01-06,,FEMENINO,12.0,LEVEMENTE HERIDO,,1_ 0 a 17 años
LC-2019-0010814,2019-01-06,,MASCULINO,12.0,LEVEMENTE HERIDO,,1_ 0 a 17 años
LC-2019-0010884,2019-01-06,,MASCULINO,12.0,LEVEMENTE HERIDO,,1_ 0 a 17 años
LC-2019-0010884,2019-01-06,,FEMENINO,12.0,LEVEMENTE HERIDO,,1_ 0 a 17 años
LC-2019-0010983,2019-01-06,,FEMENINO,44.0,LEVEMENTE HERIDO,,4_ 45 a 49 años
LC-2019-0010983,2019-01-06,,FEMENINO,44.0,LEVEMENTE HERIDO,,4_ 45 a 49 años
LC-2019-0011004,2019-01-07,,MASCULINO,70.0,LEVEMENTE HERIDO,,6_ 60 años o mas
LC-2019-0011053,2019-01-07,,MASCULINO,29.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0011092,2019-01-07,,MASCULINO,64.0,LEVEMENTE HERIDO,,6_ 60 años o mas
LC-2019-0011335,2019-01-07,,MASCULINO,27.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0011431,2019-01-07,,MASCULINO,68.0,LEVEMENTE HERIDO,,6_ 60 años o mas
LC-2019-0153972,2019-03-13,,MASCULINO,49.0,LEVEMENTE HERIDO,,4_ 45 a 49 años
LC-2019-0011575,2019-01-07,,MASCULINO,21.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0153972,2019-03-13,,MASCULINO,,LEVEMENTE HERIDO,,
LC-2019-0011908,2019-01-07,,MASCULINO,15.0,LEVEMENTE HERIDO,,1_ 0 a 17 años
LC-2019-0012172,2019-01-07,,MASCULINO,22.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0012293,2019-01-07,,MASCULINO,22.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0012508,2019-01-07,,MASCULINO,22.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0012578,2019-01-07,,FEMENINO,74.0,LEVEMENTE HERIDO,,6_ 60 años o mas
LC-2019-0012580,2019-01-07,,MASCULINO,38.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0012638,2019-01-07,,MASCULINO,34.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0082237,2019-02-08,,MASCULINO,31.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0012823,2019-01-07,,MASCULINO,19.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0013193,2019-01-07,,MASCULINO,27.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0013235,2019-01-07,,MASCULINO,45.0,LEVEMENTE HERIDO,,4_ 45 a 49 años
LC-2019-0463737,2019-07-26,,MASCULINO,30.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0013370,2019-01-07,,MASCULINO,30.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0013412,2019-01-07,,FEMENINO,9.0,LEVEMENTE HERIDO,,1_ 0 a 17 años
LC-2019-0013412,2019-01-07,,MASCULINO,9.0,LEVEMENTE HERIDO,,1_ 0 a 17 años
LC-2019-0013440,2019-01-07,,FEMENINO,49.0,LEVEMENTE HERIDO,,4_ 45 a 49 años
LC-2019-0013452,2019-01-07,,MASCULINO,39.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0013589,2019-01-07,,MASCULINO,75.0,LEVEMENTE HERIDO,,6_ 60 años o mas
LC-2019-0013652,2019-01-07,,FEMENINO,35.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0013652,2019-01-07,,FEMENINO,35.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0013652,2019-01-07,,FEMENINO,2.0,LEVEMENTE HERIDO,,1_ 0 a 17 años
LC-2019-0013652,2019-01-07,,MASCULINO,26.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0013857,2019-01-07,,MASCULINO,13.0,LEVEMENTE HERIDO,,1_ 0 a 17 años
LC-2019-0013857,2019-01-07,,FEMENINO,13.0,LEVEMENTE HERIDO,,1_ 0 a 17 años
LC-2019-0015962,2019-01-07,,MASCULINO,6.0,LEVEMENTE HERIDO,,1_ 0 a 17 años
LC-2019-0021745,2019-01-07,,MASCULINO,75.0,LEVEMENTE HERIDO,,6_ 60 años o mas
LC-2019-0013801,2019-01-08,,MASCULINO,39.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0013840,2019-01-08,,MASCULINO,22.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0013850,2019-01-08,,FEMENINO,29.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0014140,2019-01-08,,MASCULINO,9.0,LEVEMENTE HERIDO,,1_ 0 a 17 años
LC-2019-0014220,2019-01-08,,MASCULINO,32.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0014314,2019-01-08,,MASCULINO,42.0,LEVEMENTE HERIDO,,4_ 45 a 49 años
LC-2019-0014442,2019-01-08,,MASCULINO,83.0,LEVEMENTE HERIDO,,6_ 60 años o mas
LC-2019-0014448,2019-01-08,,MASCULINO,62.0,LEVEMENTE HERIDO,,6_ 60 años o mas
LC-2019-0014503,2019-01-08,,MASCULINO,62.0,LEVEMENTE HERIDO,,6_ 60 años o mas
LC-2019-0014534,2019-01-08,,,18.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0014580,2019-01-08,,MASCULINO,18.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0014644,2019-01-08,,MASCULINO,29.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0014644,2019-01-08,,MASCULINO,29.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0014787,2019-01-08,,FEMENINO,30.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0014790,2019-01-08,,MASCULINO,30.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0014956,2019-01-08,,MASCULINO,32.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0015085,2019-01-08,,MASCULINO,41.0,LEVEMENTE HERIDO,,4_ 45 a 49 años
LC-2019-0015193,2019-01-08,,MASCULINO,64.0,LEVEMENTE HERIDO,,6_ 60 años o mas
LC-2019-0015241,2019-01-08,,FEMENINO,64.0,LEVEMENTE HERIDO,,6_ 60 años o mas
LC-2019-0015361,2019-01-08,,MASCULINO,33.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0015585,2019-01-08,,MASCULINO,31.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0015614,2019-01-08,,FEMENINO,31.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0006068,2019-01-04,,MASCULINO,20.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0015700,2019-01-08,,MASCULINO,34.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0015822,2019-01-08,,MASCULINO,5.0,LEVEMENTE HERIDO,,1_ 0 a 17 años
LC-2019-0015879,2019-01-08,,,6.0,LEVEMENTE HERIDO,,1_ 0 a 17 años
LC-2019-0016012,2019-01-08,,FEMENINO,17.0,LEVEMENTE HERIDO,,1_ 0 a 17 años
LC-2019-0016105,2019-01-08,,MASCULINO,40.0,LEVEMENTE HERIDO,,4_ 45 a 49 años
LC-2019-0016278,2019-01-08,,MASCULINO,40.0,LEVEMENTE HERIDO,,4_ 45 a 49 años
LC-2019-0016388,2019-01-09,,MASCULINO,,LEVEMENTE HERIDO,,
LC-2019-0016388,2019-01-09,,FEMENINO,,LEVEMENTE HERIDO,,
LC-2019-0016581,2019-01-09,,MASCULINO,58.0,LEVEMENTE HERIDO,,5_ 50 a 59 años
LC-2019-0016613,2019-01-09,,MASCULINO,42.0,LEVEMENTE HERIDO,,4_ 45 a 49 años
LC-2019-0017068,2019-01-09,,MASCULINO,58.0,LEVEMENTE HERIDO,,5_ 50 a 59 años
LC-2019-0017068,2019-01-09,,FEMENINO,58.0,LEVEMENTE HERIDO,,5_ 50 a 59 años
LC-2019-0017068,2019-01-09,,FEMENINO,43.0,LEVEMENTE HERIDO,,4_ 45 a 49 años
LC-2019-0017068,2019-01-09,,FEMENINO,24.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0017182,2019-01-09,,MASCULINO,33.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
